config_index,executed_run_number,type,provider,model,status,output_files,config_total_runs,notes
1,0,fpf,google,gemini-1.5-flash,SUCCEEDED,"Census Bureau.fpf.1.gemini-1.5-flash.9io.txt",25,
2,1,fpf,google,gemini-1.5-pro,SUCCEEDED,"Census Bureau.fpf.1.gemini-1.5-pro.2n1.txt",25,
3,2,fpf,google,gemini-2.0-flash,SUCCEEDED,"Census Bureau.fpf.1.gemini-2.0-flash.4ah.txt",25,
4,3,fpf,google,gemini-2.5-flash,SUCCEEDED,"Census Bureau.fpf.1.gemini-2.5-flash.iur.txt",25,
5,4,fpf,google,gemini-2.5-flash-lite,FAILED,"",25,Provider did not perform web_search; run aborted
6,5,fpf,google,gemini-2.5-pro,SUCCEEDED,"Census Bureau.fpf.1.gemini-2.5-pro.9fx.txt",25,
7,6,fpf,openai,gpt-5,SUCCEEDED,"Census Bureau.fpf.1.gpt-5.ucj.txt",25,
8,7,fpf,openai,gpt-5-mini,SUCCEEDED,"Census Bureau.fpf.1.gpt-5-mini.oud.txt",25,
9,8,fpf,openai,gpt-5-nano,SUCCEEDED,"Census Bureau.fpf.1.gpt-5-nano.fpy.txt",25,
10,9,fpf,openai,o3,SUCCEEDED,"Census Bureau.fpf.1.o3.oe8.txt",25,
11,10,fpf,openai,o4-mini,SUCCEEDED,"Census Bureau.fpf.1.o4-mini.kru.txt",25,
12,11,fpf,openaidp,o3-deep-research,FAILED,"",25,Background DP task failed
13,12,gptr,google_genai,gemini-2.5-flash-lite,SUCCEEDED,"Census Bureau.gptr.1.gemini-2.5-flash-lite.1od.md",25,
14,13,gptr,openai,gpt-4.1-nano,FAILED,"",25,gpt-researcher subprocess failed
15,14,gptr,openai,gpt-5-nano,FAILED,"",25,charmap encoding error in gpt-researcher
16,15,gptr,openai,o4-mini,SUCCEEDED,"Census Bureau.gptr.1.o4-mini.rqr.md",25,
17,16,dr,openai,gpt-4.1-nano,SUCCEEDED,"Census Bureau.dr.1.gpt-4.1-nano.72l.md",25,
18,17,dr,openai,gpt-5-nano,FAILED,"",25,unsupported temperature value for model (API error)
19,18,dr,openai,o4-mini,SUCCEEDED,"Census Bureau.dr.1.o4-mini.8r7.md",25,
20,19,ma,,gpt-4.1,SUCCEEDED,"Census Bureau.ma.1.gpt-4.1.zht.md; Census Bureau.ma.2.gpt-4.1.dy1.docx; Census Bureau.ma.3.gpt-4.1.vb9.md",25,multiple MA outputs produced
21,20,ma,,gpt-4.1-mini,SUCCEEDED,"Census Bureau.ma.1.gpt-4.1-mini.fi1.md; Census Bureau.ma.2.gpt-4.1-mini.x69.docx; Census Bureau.ma.3.gpt-4.1-mini.oeg.docx; Census Bureau.ma.4.gpt-4.1-mini.aim.md; Census Bureau.ma.5.gpt-4.1-mini.afq.md",25,multiple MA outputs
22,21,ma,,gpt-4.1-nano,SUCCEEDED,"Census Bureau.ma.2.gpt-4.1-nano.9th.md; Census Bureau.ma.3.gpt-4.1-nano.y40.md; Census Bureau.ma.4.gpt-4.1-nano.64f.docx; Census Bureau.ma.5.gpt-4.1-nano.3xu.md",25,multiple MA outputs
23,22,ma,,gpt-4o,SUCCEEDED,"Census Bureau.ma.1.gpt-4o.mys.md; Census Bureau.ma.2.gpt-4o.yk4.docx; Census Bureau.ma.3.gpt-4o.162.md; Census Bureau.ma.4.gpt-4o.iqq.docx; Census Bureau.ma.5.gpt-4o.vgh.md",25,multiple MA outputs
24,23,ma,,gpt-4o-mini,SUCCEEDED,"Census Bureau.ma.1.gpt-4o-mini.s08.md; Census Bureau.ma.2.gpt-4o-mini.zse.docx; Census Bureau.ma.3.gpt-4o-mini.la4.docx; Census Bureau.ma.4.gpt-4o-mini.2ie.md; Census Bureau.ma.5.gpt-4o-mini.zdc.md",25,multiple MA outputs
25,24,ma,,o4-mini,SUCCEEDED,"Census Bureau.ma.1.o4-mini.xe2.docx; Census Bureau.ma.2.o4-mini.5na.md; Census Bureau.ma.3.o4-mini.qcc.md; Census Bureau.ma.4.o4-mini.md8.docx; Census Bureau.ma.5.o4-mini.ffa.md",25,multiple MA outputs
